Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Santesmases, M.J.","6602227249","The long postwar and the politics of penicillin: early circulation and smuggling in Spain, 1944-1954",2014,"Medicina nei secoli",26,"2",,615,638,,2,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84936080212&partnerID=40&md5=34a110d62528acb764b1cc882f2a1d1f",Article,Final,"",Scopus,2-s2.0-84936080212
"Leech, B.L.","6603223523","Lobbyists at work",2014,"Lobbyists at Work",,"",,1,254,,2,10.1007/978-1-4302-4561-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84930900143&partnerID=40&md5=c76316b727b6287005b4b7eff94e00ab",Book,Final,"",Scopus,2-s2.0-84930900143
"Figueroa, E.C., Arancibia, R.N.","56667153900; 56175665400","The state, entrepreneurs, and burocrats in chilean economic projects. antecedents and politics from the 1990s. The entrepreneuirgovernment relation | Estado, empresarios y burócratas en los proyectos económicos en Chile. antecedentes y políticas en los 90's. La relación empresariosgobiernos",2014,"Historia 396",4,"2",,217,236,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84930318344&partnerID=40&md5=1d1fd00293fb6680abf2ea3045c6be7b",Article,Final,"",Scopus,2-s2.0-84930318344
"Gang, C.","23110470600","From 17th to 18th Party Congress: Implications for intra-party democracy",2014,"Copenhagen Journal of Asian Studies",32,"2",,37,57,,,10.22439/cjas.v32i2.4757,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84924936989&partnerID=40&md5=43ebb73155d2a7faf55768a6d0969402",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-84924936989
"Alba Tercedor, C.","51763084700","The long-standing inertia and new challenges of Spain's administrative elites | Les élites administratives en espagne : Vieilles inerties et nouveaux défis",2014,"Revue Francaise d'Administration Publique",151-152,"3",,697,718,,,10.3917/rfap.151.0697,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84923815188&partnerID=40&md5=b42e64b00e0cddab3f80110f0b5ca81e",Article,Final,"",Scopus,2-s2.0-84923815188
"Rouban, L.","55932277900","Where do European administrative elites stand now? | Où en sont les élites administratives en Europe ?",2014,"Revue Francaise d'Administration Publique",151-152,"3",,637,644,,2,10.3917/rfap.151.0637,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84923812839&partnerID=40&md5=eeacaa101a1569139e9e4a5a4588afb9",Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-84923812839
"Melis, G.","37097711800","The paradox of the Italian administrative elites | Le paradoxe des élites administratives italiennes",2014,"Revue Francaise d'Administration Publique",151-152,"3",,681,696,,,10.3917/rfap.151.0681,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84923763178&partnerID=40&md5=5c4cfbfc53da9190c9dbf236cdb4ebd5",Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-84923763178
"Rosello, M., Dasgupta, S.","36777291300; 56527718400","Introduction: Queer and Europe: An encounter",2014,"What's Queer about Europe?: Productive Encounters and Re-Enchanting Paradigms",,"",,1,23,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84923521803&partnerID=40&md5=3004c9b70fa664e74b5a50f43fec6b7e",Editorial,Final,"",Scopus,2-s2.0-84923521803
"Hoffman, F.G.","11540783800","Grand Strategy: The Fundamental Considerations",2014,"Orbis",58,"4",,472,485,,6,10.1016/j.orbis.2014.08.002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84921924759&partnerID=40&md5=5d811cf6c50abed2075e771bcc5d5acf",Article,Final,"",Scopus,2-s2.0-84921924759
"Dutt, R.","56452698100","Crossing over: Caciques, indigenous politics, and the vecino world in caste war Yucatán",2014,"Ethnohistory",61,"4",,739,759,,1,10.1215/00141801-2717849,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84919388020&partnerID=40&md5=e17cc6f1734925bfa158fb131cd1123c",Article,Final,"",Scopus,2-s2.0-84919388020
"Perera-Mubarak, K.","55243406700","Power play: ethical dilemmas of dealing with local officials and politicians: Experiences from post-tsunami research in Sri Lanka",2014,"Fieldwork in the Global South: Ethical Challenges and Dilemmas",,"",,206,216,,1,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84917382925&partnerID=40&md5=365618b65ec37d9fa8b18524e440d5ee",Book Chapter,Final,"",Scopus,2-s2.0-84917382925
"Ahlers, A.L.","36650248900","Rural policy implementation in contemporary China: New socialist countryside",2014,"Rural Policy Implementation in Contemporary China: New Socialist Countryside",,"",,1,269,,36,10.4324/9781315869742,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84911147883&partnerID=40&md5=667da988223b2d1cffef731d8364639f",Book,Final,"",Scopus,2-s2.0-84911147883
"Milakovich, M.E.","6603370406","Digital governance and collaborative strategies for improving service quality",2014,"KMIS 2014 - Proceedings of the International Conference on Knowledge Management and Information Sharing",,"",,109,118,,,10.5220/0005021001090118,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84910014547&partnerID=40&md5=16fdc87869a6e8806b623a9beb44ebd5",Conference Paper,Final,"",Scopus,2-s2.0-84910014547
"Bonds, M.","55975266100","Race, politics, and community development funding: The discolor of money",2014,"Race, Politics, and Community Development Funding: The Discolor of Money",,"",,1,131,,,10.4324/9781315785745,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84909307755&partnerID=40&md5=9ef11e4cd1ed91c3386c11e939207729",Book,Final,"",Scopus,2-s2.0-84909307755
"Hartung, M., Milojcic, G.","11139949600; 6507288824","Outlook for the German lignite industry 2014 | Perspektiven der deutschen Braunkohlenindustrie 2014",2014,"World of Mining - Surface and Underground",66,"4",,205,218,,1,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84907372511&partnerID=40&md5=519199003269838912e570c3851fb9a5",Article,Final,"",Scopus,2-s2.0-84907372511
"Blok, A.","24723632000","Articulating social science in the wild of global natures? on economics and anthropology in transnational environmental politics",2014,"Environment and Planning A",46,"9",,2125,2142,,5,10.1068/a469,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84907297791&partnerID=40&md5=77e42f9bdea3ad826af046412661573f",Article,Final,"",Scopus,2-s2.0-84907297791
"Safransky, S.","56317998900","Greening the urban frontier: Race, property, and resettlement in Detroit",2014,"Geoforum",56,"",,237,248,,152,10.1016/j.geoforum.2014.06.003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84907245061&partnerID=40&md5=92ce32fb0a5d00e7503bf0f25b2f0653",Article,Final,"All Open Access, Green",Scopus,2-s2.0-84907245061
"Zhou, M.","56335426200","Debating the state in private housing neighborhoods: The governance of homeowners' associations in Urban Shanghai",2014,"International Journal of Urban and Regional Research",38,"5",,1849,1866,,12,10.1111/1468-2427.12187,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84906835438&partnerID=40&md5=3a112b3ffb8afcb9e460f20491ba00c4",Article,Final,"",Scopus,2-s2.0-84906835438
"Laffin, M., Mawson, J., Ormston, C.","6701720432; 7003991313; 8633490400","Public services in a 'Postdemocratic age': An alternative framework to network governance",2014,"Environment and Planning C: Government and Policy",32,"4",,762,776,,14,10.1068/c1261,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84905965441&partnerID=40&md5=9ab60af99010732ed22f03fbf30b0ff0",Article,Final,"All Open Access, Green",Scopus,2-s2.0-84905965441
"Park, S., Kim, B.S.","55588356900; 56125193400","Who is Appointed to What Position? The Politics of Appointment in Quangos of Korea",2014,"Public Organization Review",14,"3",,325,351,,7,10.1007/s11115-013-0221-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84905751785&partnerID=40&md5=238201ba26eee972f93b07443814def7",Article,Final,"",Scopus,2-s2.0-84905751785
"Hyvärinen, A., Raunio, T.","56079032300; 6603545968","Who decides what EU issues ministers talk about? Explaining governmental EU policy co-ordination in Finland",2014,"Journal of Common Market Studies",52,"5",,1019,1034,,6,10.1111/jcms.12134,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84905733395&partnerID=40&md5=648c58696aec80b74a8ab79b2b089ba6",Article,Final,"",Scopus,2-s2.0-84905733395
"Landemore, H.","26325532800","Yes, We Can (Make It Up on Volume): Answers to Critics",2014,"Critical Review",26,"1-2",,184,237,,30,10.1080/08913811.2014.940780,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84905695699&partnerID=40&md5=8f6f83a2ade576624e9e6b4f1ba2c722",Article,Final,"",Scopus,2-s2.0-84905695699
"Hönig, P.","56303530500","Civil society and land use policy in Uganda: The Mabira forest case | Zivilgesellschaft und landnutzungspolitik in Uganda: Der konflikt um das Mabira-naturschutzgebiet",2014,"Africa Spectrum",49,"2",,53,77,,7,10.1177/000203971404900203,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84905235781&partnerID=40&md5=ead920397203504f2be1670cef4f6729",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-84905235781
"Wong, T.-H.","7403531300","Crossing the binary line: The founding of the polytechnic in Colonial Hong Kong",2014,"History of Education",43,"4",,524,541,,2,10.1080/0046760X.2014.930185,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84904708939&partnerID=40&md5=2ea8250abc89888911700d35b2f8dae3",Article,Final,"",Scopus,2-s2.0-84904708939
"Sato, J.","35300344700","Resource politics and state-society relations: Why are Certain states more inclusive than others?",2014,"Comparative Studies in Society and History",56,"3",,745,773,,2,10.1017/S0010417514000310,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84904618996&partnerID=40&md5=bb1fe5f181988a4b0c0a8ae8961c4ec5",Article,Final,"",Scopus,2-s2.0-84904618996
"Rollings, N.","6602834804","The twilight world of British business politics: The Spring Sunningdale conferences since the 1960s",2014,"Business History",56,"6",,915,935,,10,10.1080/00076791.2013.847429,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84904566588&partnerID=40&md5=74c382763865d8c5752811104e912415",Article,Final,"All Open Access, Green",Scopus,2-s2.0-84904566588
"Javeline, D.","21834300000","The most important topic political scientists are not studying: Adapting to climate change",2014,"Perspectives on Politics",12,"2",,420,434,,71,10.1017/S1537592714000784,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84904392333&partnerID=40&md5=41f3056a678d755a68e3b380761ee805",Article,Final,"",Scopus,2-s2.0-84904392333
"Risso-Gill, I., McKee, M., Coker, R., Piot, P., Legido-Quigley, H.","56271517800; 7202304775; 9742284100; 7102380818; 15837269400","Health system strengthening in Myanmar during political reforms: Perspectives from international agencies",2014,"Health Policy and Planning",29,"4",,466,474,,15,10.1093/heapol/czt037,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84904344173&partnerID=40&md5=cc14767ddba9a2186868d6b27338e592",Review,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-84904344173
"Balla, S.J.","6603436300","Health system reform and political participation on the Chinese Internet",2014,"China Information",28,"2",,214,236,,11,10.1177/0920203X14525915,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84904292435&partnerID=40&md5=13c6bc64c43d98c4baa7b45fa69c6c86",Article,Final,"",Scopus,2-s2.0-84904292435
"Majumder, S.","55501940200","Development through paper deals: Space and politics of value in peri-urban India",2014,"Dialectical Anthropology",38,"2",,173,188,,2,10.1007/s10624-014-9341-6,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84904202029&partnerID=40&md5=f8f2081d696fd6d4a363a9dc37d00280",Article,Final,"",Scopus,2-s2.0-84904202029
"Alfirdaus, L.K.","56094715800","Islam and local politics: In the quest of kiai, politics, and development in Kebumen, 2008-2010",2014,"Al-Jami'ah",51,"2",,279,309,,,10.14421/ajis.2013.512.279-309,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84903779016&partnerID=40&md5=0536490cb7d1bb3a687080391416225a",Article,Final,"",Scopus,2-s2.0-84903779016
"Schoenfeld, H.","14819741300","The delayed emergence of penal modernism in Florida",2014,"Punishment and Society",16,"3",,258,284,,14,10.1177/1462474514527147,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84903764930&partnerID=40&md5=7372bd900d249b55690b1a890d5f8668",Article,Final,"",Scopus,2-s2.0-84903764930
"Staňová, Ľ.","56233449600","Central civil service management structures as brokers of de-politicization and evidence based civil service management: A typology",2014,"Human Affairs",24,"3",,307,324,,,10.2478/s13374-014-0229-6,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84903398137&partnerID=40&md5=ff62aae760c867d77f4254d94f4730e5",Article,Final,"",Scopus,2-s2.0-84903398137
"Fernández Ríos, O.","56229660200","Cuba's socialist transition: Economic adjustment and sociopolitical challenges",2014,"Latin American Perspectives",41,"4",,48,62,,1,10.1177/0094582X14534595,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84903316573&partnerID=40&md5=2d001d3aeae47e7a3fb837e98c446193",Conference Paper,Final,"",Scopus,2-s2.0-84903316573
"Donahue, A.K., Eckel, C.C., Wilson, R.K.","8938068300; 7003583590; 55740137300","Ready or Not? How Citizens and Public Officials Perceive Risk and Preparedness",2014,"American Review of Public Administration",44,"4 SUPPL.",,89S,111S,,49,10.1177/0275074013506517,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84903194060&partnerID=40&md5=6472eb88644168c07d189fd019b2635c",Article,Final,"",Scopus,2-s2.0-84903194060
"Kaçel, E.","56226286900","Information or culture: The intellectual dissemination of Americanism as common sense",2014,"New Perspectives on Turkey",50,"",,171,188,,2,10.1017/s0896634600006610,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84903173818&partnerID=40&md5=26ced092093f61e4e4099ee86d00c4eb",Article,Final,"",Scopus,2-s2.0-84903173818
"Heinrichs, H., Laws, N.","22134819300; 55835038700","""""Sustainability state"""" in the making? Institutionalization of sustainability in German federal policy making",2014,"Sustainability (Switzerland)",6,"5",,2623,2641,,27,10.3390/su6052623,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84902977720&partnerID=40&md5=c75026c25f75656cfa615dda7b02072b",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-84902977720
"Kusche, I.","6506989166","Political clientelism and democracy: Clientelistic power and the internal differentiation of the political system",2014,"Acta Sociologica (United Kingdom)",57,"3",,207,221,,1,10.1177/0001699313506721,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84902965123&partnerID=40&md5=3be0a320abfb478e37847b48f63348f2",Article,Final,"",Scopus,2-s2.0-84902965123
"Patriau, E.","55505576700","El Congreso peruano: Políticas públicas e influencia informal sobre la burocracia",2014,"Perfiles Latinoamericanos",,"43",,103,126,,,10.18504/pl2243-103-2014,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84902841846&partnerID=40&md5=ce0e723d1da74ba16664681416d03972",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-84902841846
"Montgomery, A.H., Mount, A.","23100816200; 56208754700","Misestimation: Explaining US Failures to Predict Nuclear Weapons Programs†",2014,"Intelligence and National Security",29,"3",,357,386,,21,10.1080/02684527.2014.895593,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84902584136&partnerID=40&md5=00c51b9ae40c2092d449267933acda98",Article,Final,"All Open Access, Green",Scopus,2-s2.0-84902584136
"Lalor, B.M., Hickey, G.M.","8291682800; 8875857500","Strengthening the Role of Science in the Environmental Decision-Making Processes of Executive Government",2014,"Organization and Environment",27,"2",,161,180,,19,10.1177/1086026614525641,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84902532426&partnerID=40&md5=4b78ac6aaa2c4d8b447389c50078ead4",Article,Final,"",Scopus,2-s2.0-84902532426
"O'donnell, F., Pant, H.V.","56202691400; 7102222874","Evolution of India's agni-v missile",2014,"Asian Survey",54,"3",,584,610,,1,10.1525/AS.2014.54.3.584,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84902280212&partnerID=40&md5=85448d808f598f3ed826caa81bb95331",Review,Final,"",Scopus,2-s2.0-84902280212
"Caddel, J.","55771322200","Domestic competition over trade barriers in the US international trade commission",2014,"International Studies Quarterly",58,"2",,260,268,,2,10.1111/isqu.12085,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84902193166&partnerID=40&md5=550fffd992ea25649b4bf3e816a81593",Article,Final,"",Scopus,2-s2.0-84902193166
"Pinto, L.E.","18635017900","Learning through civic participation: Policy actors' perspectives on curriculum reform involvement in Ontario",2014,"Policy Futures in Education",12,"3",,403,416,,1,10.2304/pfie.2014.12.3.403,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84902012618&partnerID=40&md5=28f0cca1eeca15008a2b85de0e1329e6",Article,Final,"",Scopus,2-s2.0-84902012618
"Tatham, M., Bauer, M.W.","25226012900; 55627469100","Support from below? Supranational institutions, regional élites and governance preferences",2014,"Journal of Public Policy",34,"2",,237,267,,8,10.1017/S0143814X13000299,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84901921754&partnerID=40&md5=98553901e1231a51d12b6a40a995ce28",Article,Final,"",Scopus,2-s2.0-84901921754
"Read, C.J.","55181512700","UN-settlement: Demolition, home remaking, and the everyday politics of citizenship in a low-income Delhi Neighborhood",2014,"Home Cultures",11,"2",,197,218,,6,10.2752/175174214X13891916944670,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84901712092&partnerID=40&md5=7cec4766d9ea3e194a6a640b0a32d198",Article,Final,"",Scopus,2-s2.0-84901712092
"Čerče, D.","55369328200","Contextualising gambling: Why critics maligned Frank Hardy's works?",2014,"Foreign Literature Studies",36,"2",,125,135,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84901657987&partnerID=40&md5=aae3b1e906ae39948d06944b14a6e0b8",Article,Final,"",Scopus,2-s2.0-84901657987
"Gill-McLure, W.","6506753247","The politics of managerial reform in UK local government: a study of control, conflict and resistance 1880s to present",2014,"Labor History",55,"3",,365,388,,14,10.1080/0023656X.2014.913417,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84901619055&partnerID=40&md5=c16945433a2099d67f0e35a182b2be0b",Article,Final,"",Scopus,2-s2.0-84901619055
"Graham, E.R.","55757876700","International organizations as collective agents: Fragmentation and the limits of principal control at the World Health Organization",2014,"European Journal of International Relations",20,"2",,366,390,,42,10.1177/1354066113476116,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84901295961&partnerID=40&md5=4d518c127ee3d3e75b37714af1b02adf",Article,Final,"",Scopus,2-s2.0-84901295961
"Firat, B.","55498605100","The accession pedagogy: Power and politics in Turke's bid for EU membership",2014,"Anthropological Journal of European Cultures",23,"1",,99,120,,2,10.3167/ajec.2014.230106,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84901244177&partnerID=40&md5=2d6155cf8665d1910a597b9bd25115bf",Article,Final,"All Open Access, Green",Scopus,2-s2.0-84901244177
"Kim, S.C.","56169068300","Politics, knowledge,and inter-Korean affairs: Korean public think tanks not as policy advocates but as knowledge producers",2014,"Issues and Studies",50,"1",,123,151,,1,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84901004054&partnerID=40&md5=c158222ba365579a0898c0992c9981af",Conference Paper,Final,"",Scopus,2-s2.0-84901004054
"Phillips, M.A.","55599402600","State involvement in limiting textbook choice by school districts",2014,"Public Choice",160,"1-2",,181,203,,2,10.1007/s11127-013-0075-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84900837485&partnerID=40&md5=d4665bdd92db1336e875525c48be0388",Article,Final,"",Scopus,2-s2.0-84900837485
"Koltai, K., Ho, N.T., Masequesmay, G., Niedober, D.J., Skoog, M., Johnson, W., Cacanindin, A., Lyons, J.B.","56160298700; 34871913300; 7801432988; 56159474000; 25946053600; 7404848880; 56159938900; 15623605700","An extended case study methodology for investigating influence of cultural, organizational, and automation factors on human-automation trust",2014,"Conference on Human Factors in Computing Systems - Proceedings",,"",,885,888,,7,10.1145/2559206.2559974,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84900556116&partnerID=40&md5=b20e173b6df09464b1fe81a892d86491",Conference Paper,Final,"",Scopus,2-s2.0-84900556116
"Gutman, D.","56158309700","Armenian migration to North America, state power, and local politics in the late Ottoman empire",2014,"Comparative Studies of South Asia, Africa and the Middle East",34,"1",,176,190,,1,10.1215/1089201X-2648650,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84900513397&partnerID=40&md5=043ea395ee62b59cb63ebef627062161",Article,Final,"",Scopus,2-s2.0-84900513397
"Ujhelyi, G.","21735111700","Civil service rules and policy choices: Evidence from US State Governments",2014,"American Economic Journal: Economic Policy",6,"2",,338,380,,18,10.1257/pol.6.2.338,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84900471864&partnerID=40&md5=1fadbe6ca28d6a903e5bb6929cebaa4e",Article,Final,"All Open Access, Green",Scopus,2-s2.0-84900471864
"Sebola, M.P.","22986474000","The politicisation of government administration: The limited """"brutal"""" options of the South African government administration",2014,"Mediterranean Journal of Social Sciences",5,"7",,208,217,,1,10.5901/mjss.2014.v5n7p208,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84900454045&partnerID=40&md5=59311f300043848837fbd63af782513e",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-84900454045
"Roath, P.T.","56157973300","The abuse of incumbency on trial: Limits on legalizing politics",2014,"Columbia Journal of Law and Social Problems",47,"3",,285,324,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84900400752&partnerID=40&md5=02990b4ec41c3c02bd5a57fac124b22a",Article,Final,"",Scopus,2-s2.0-84900400752
"Dobbins, M.","8583386500","Explaining change and inertia in Swedish and French education: A tale of two corporatisms?",2014,"Policy Studies",35,"3",,282,302,,13,10.1080/01442872.2013.875149,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84899945131&partnerID=40&md5=de5e87c887ccc619f6c7f8b0064a5041",Article,Final,"",Scopus,2-s2.0-84899945131
"Greer, S.L., Martín de Almagro Iniesta, M.","9634517900; 56151716800","How Bureaucracies Listen to Courts: Bureaucratized Calculations and European Law",2014,"Law and Social Inquiry",39,"2",,361,386,,4,10.1111/lsi.12035,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84899941820&partnerID=40&md5=43a31e4c392f8249748a006a72e35746",Article,Final,"",Scopus,2-s2.0-84899941820
"Taylor, E.M., Harper, I.","36747011200; 14522712000","The Politics and Anti-Politics of the Global Fund Experiment: Understanding Partnership and Bureaucratic Expansion in Uganda",2014,"Medical Anthropology: Cross Cultural Studies in Health and Illness",33,"3",,206,222,,20,10.1080/01459740.2013.796941,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84899629458&partnerID=40&md5=d41b80e4cb7958d602ef41d34b8050b0",Article,Final,"All Open Access, Green",Scopus,2-s2.0-84899629458
"Parra, I.D.","36545252400","Gentrification, a back to the city movement by local government action | La gentrificación, un regreso a la ciudad de la intervención urbanística",2014,"Boletin de la Asociacion de Geografos Espanoles",,"64",,321,340+477-480,,3,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84898854679&partnerID=40&md5=79f8036274f55fd0530d4302e9a71bb7",Article,Final,"",Scopus,2-s2.0-84898854679
"Weisser, F., Bollig, M., Doevenspeck, M., Müller-Mahn, D.","55893458300; 6602497730; 55894010600; 22835278500","Translating the 'adaptation to climate change' paradigm: The politics of a travelling idea in Africa",2014,"Geographical Journal",180,"2",,111,119,,73,10.1111/geoj.12037,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84898826890&partnerID=40&md5=42009a01e9f9644f48146050ba9cc8e0",Article,Final,"",Scopus,2-s2.0-84898826890
"Sezgin, Y., Künkler, M.","22986564200; 35145853300","Regulation of religion and the religious: The politics of judicialization and bureaucratization in India and Indonesia",2014,"Comparative Studies in Society and History",56,"2",,448,478,,41,10.1017/S0010417514000103,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84898461449&partnerID=40&md5=b61403596bbf6ebef9614af7dbfe188e",Review,Final,"All Open Access, Green",Scopus,2-s2.0-84898461449
"Debrah, E.","37057013100","The politics of decentralization in Ghana's Fourth Republic",2014,"African Studies Review",57,"1",,49,69,,9,10.1017/asr.2014.5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84898403531&partnerID=40&md5=86dee512c1d53f3b4762656de5d5e461",Article,Final,"",Scopus,2-s2.0-84898403531
"Robb, T.K., Seibold, M.","36457158300; 56100160700","Spying on friends: British assessments of French security, 1945-50",2014,"International History Review",36,"1",,112,141,,,10.1080/07075332.2013.820774,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84897665290&partnerID=40&md5=c833012f4d6a6762697c9153e3e342c3",Article,Final,"All Open Access, Green",Scopus,2-s2.0-84897665290
"Bjerkås, T.","56096944000","Revolutionary speech? New perspectives on the eidsvoll addresses | Revolusjonær tale?: Nye perspektiver på eidsvollsadressene",2014,"Historisk Tidsskrift",93,"1",,95,124,,1,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84897543351&partnerID=40&md5=0b9218b54155c7a6a5e335bdadc434a4",Article,Final,"",Scopus,2-s2.0-84897543351
"Kim, W.S., Choi, Y.J.","56097584300; 55685946000","Revisiting the role of Bureaucrats in pension policy-making: The case of South Korea",2014,"Government and Opposition",49,"2",,264,289,,2,10.1017/gov.2013.26,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84897501608&partnerID=40&md5=67cdfbdec4343119efb811accc8b4d0e",Article,Final,"",Scopus,2-s2.0-84897501608
"Entwistle, T., Downe, J., Guarneros-Meza, V., Martin, S.","8221451000; 9037937700; 24072732800; 55324413700","The multi-level governance of wales: Layer cake or marble cake?",2014,"British Journal of Politics and International Relations",16,"2",,310,325,,13,10.1111/j.1467-856X.2012.00541.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84897490602&partnerID=40&md5=28e6d83452fffe2cbaca45852ea6f134",Article,Final,"",Scopus,2-s2.0-84897490602
"Chen, X.","55325962800","How the Chinese state manages and uses surname associations: Government policy on surname associations in Southern Fujian since the 1990s",2014,"Sokendai Review of Cultural and Social Studies",,"10",,137,154,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84897446593&partnerID=40&md5=0ceeee860eaef4418f80652b130b2db2",Article,Final,"",Scopus,2-s2.0-84897446593
"Kang, M.-K.","26537635100","The politics of bank bailout in Japan: A cognitive capture and leadership view",2014,"Pacific Review",27,"2",,193,215,,3,10.1080/09512748.2014.882392,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84897436327&partnerID=40&md5=679d7ef304a6666fd92f6ef07fb4e779",Article,Final,"",Scopus,2-s2.0-84897436327
"Dickson, B.J.","7103134438","Who wants to be a communist? Career incentives and mobilized loyalty in China",2014,"China Quarterly",,"217",,42,68,,40,10.1017/S0305741013001434,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84897403309&partnerID=40&md5=08547cbfb54c3a3f3c3c61f1be450160",Article,Final,"",Scopus,2-s2.0-84897403309
"Bubb, R., Warren, P.L.","22633755800; 51565928200","Optimal agency bias and regulatory review",2014,"Journal of Legal Studies",43,"1",,95,135,,21,10.1086/675258,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84897129280&partnerID=40&md5=147799530dc2290130656cc3430cc0cd",Article,Final,"",Scopus,2-s2.0-84897129280
"Wilson, W.C., Carlos, R.F.","34972381500; 55945540400","Do Women Representatives Regender Legislative Bureaucracy? Assessing the Effect of Representative Sex on Women's Presence among US Congressional Staff",2014,"Journal of Legislative Studies",20,"2",,216,235,,7,10.1080/13572334.2013.833392,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84897099540&partnerID=40&md5=d2fa4f942f03ea3829a7d315c9505c45",Article,Final,"",Scopus,2-s2.0-84897099540
